model-1577167384,1577167948.675,0.52,0.2468,0.72,0.2419
model-1577167384,1577167949.201,0.61,0.2434,0.5,0.2519
model-1577167384,1577167949.71,0.62,0.2441,0.69,0.2389
model-1577167384,1577167950.222,0.48,0.2451,0.59,0.24
model-1577167384,1577167950.737,0.53,0.2446,0.44,0.2579
model-1577167384,1577167951.254,0.54,0.2471,0.56,0.248
model-1577167384,1577167951.769,0.5,0.2483,0.44,0.2437
model-1577167384,1577167952.317,0.69,0.2364,0.5,0.258
model-1577167384,1577167952.901,0.51,0.2481,0.66,0.2405
model-1577167384,1577167953.464,0.64,0.2417,0.53,0.2541
model-1577167384,1577167953.989,0.6,0.2459,0.59,0.2513
model-1577167384,1577167954.538,0.59,0.2382,0.66,0.2382
model-1577167384,1577167955.252,0.56,0.2449,0.59,0.2424
model-1577167384,1577167955.816,0.68,0.2283,0.5,0.2532
model-1577167384,1577167956.427,0.61,0.2447,0.62,0.2388
model-1577167384,1577167956.974,0.59,0.2377,0.66,0.2162
model-1577167384,1577167957.485,0.62,0.2364,0.53,0.253
model-1577167384,1577167957.994,0.5,0.2711,0.56,0.2341
model-1577167384,1577167958.494,0.54,0.2454,0.66,0.2273
model-1577167384,1577167959.009,0.54,0.2517,0.56,0.2503
model-1577167384,1577167959.507,0.6,0.23,0.72,0.2036
model-1577167384,1577167960.008,0.57,0.241,0.59,0.2438
model-1577167384,1577167960.508,0.67,0.2309,0.72,0.2186
model-1577167384,1577167961.014,0.61,0.2388,0.72,0.2059
model-1577167384,1577167961.524,0.49,0.2517,0.5,0.2471
model-1577167384,1577167962.039,0.56,0.2337,0.47,0.2533
model-1577167384,1577167962.54,0.51,0.2549,0.47,0.2762
model-1577167384,1577167963.053,0.49,0.2501,0.62,0.2379
model-1577167384,1577167963.562,0.59,0.2388,0.66,0.2164
model-1577167384,1577167964.075,0.59,0.242,0.41,0.264
model-1577167384,1577167964.578,0.66,0.2203,0.5,0.261
model-1577167384,1577167965.087,0.54,0.2413,0.59,0.2204
model-1577167384,1577167965.604,0.56,0.238,0.62,0.2353
model-1577167384,1577167966.105,0.6,0.2345,0.69,0.2176
model-1577167384,1577167966.606,0.54,0.2439,0.62,0.2374
model-1577167384,1577167967.102,0.57,0.2441,0.62,0.2458
model-1577167384,1577167967.6,0.68,0.2253,0.75,0.2161
model-1577167384,1577167968.099,0.6,0.2313,0.56,0.2643
model-1577167384,1577167968.598,0.58,0.2491,0.81,0.2141
model-1577167384,1577167969.102,0.59,0.2328,0.56,0.2581
model-1577167384,1577167969.606,0.62,0.2307,0.44,0.2865
model-1577167384,1577167970.102,0.64,0.2296,0.62,0.2272
model-1577167384,1577167970.604,0.61,0.2461,0.69,0.1903
model-1577167384,1577167971.108,0.54,0.2618,0.66,0.2452
model-1577167384,1577167971.609,0.61,0.227,0.66,0.222
model-1577167384,1577167972.104,0.55,0.2502,0.56,0.2586
model-1577167384,1577167972.605,0.5,0.2536,0.44,0.246
model-1577167384,1577167973.101,0.61,0.2493,0.53,0.2451
model-1577167384,1577167973.602,0.57,0.2454,0.66,0.2271
model-1577167384,1577167974.099,0.48,0.2502,0.59,0.2519
model-1577167384,1577167974.593,0.63,0.2386,0.47,0.2561
model-1577167384,1577167975.091,0.65,0.2265,0.38,0.2733
model-1577167384,1577167975.587,0.65,0.2322,0.66,0.2168
model-1577167384,1577167976.087,0.53,0.2466,0.59,0.2343
model-1577167384,1577167976.583,0.53,0.2491,0.69,0.2212
model-1577167384,1577167977.083,0.63,0.2394,0.47,0.2875
model-1577167384,1577167977.588,0.62,0.2379,0.69,0.2192
model-1577167384,1577167978.121,0.57,0.2379,0.66,0.2246
model-1577167384,1577167978.62,0.6,0.2354,0.5,0.243
model-1577167384,1577167979.12,0.57,0.239,0.69,0.2252
model-1577167384,1577167979.625,0.58,0.2338,0.53,0.2483
model-1577167384,1577167980.119,0.63,0.238,0.59,0.2275
model-1577167384,1577167980.61,0.45,0.2547,0.59,0.2442
model-1577167384,1577167981.102,0.58,0.2377,0.75,0.2194
model-1577167384,1577167981.607,0.61,0.2316,0.66,0.2311
model-1577167384,1577167982.097,0.67,0.225,0.53,0.2429
model-1577167384,1577167982.594,0.7,0.2279,0.5,0.2425
model-1577167384,1577167983.092,0.6,0.2275,0.69,0.2163
model-1577167384,1577167983.595,0.69,0.2199,0.66,0.2419
model-1577167384,1577167984.089,0.6,0.2355,0.69,0.2197
model-1577167384,1577167984.581,0.59,0.2398,0.47,0.2772
model-1577167384,1577167985.077,0.54,0.2423,0.69,0.2205
model-1577167384,1577167985.576,0.58,0.2417,0.56,0.254
model-1577167384,1577167986.075,0.6,0.2363,0.72,0.2017
model-1577167384,1577167986.577,0.6,0.2405,0.56,0.2303
model-1577167384,1577167987.07,0.65,0.2283,0.69,0.1885
model-1577167384,1577167987.563,0.57,0.2435,0.5,0.256
model-1577167384,1577167988.051,0.6,0.2215,0.59,0.2232
model-1577167384,1577167988.548,0.62,0.2255,0.69,0.2244
model-1577167384,1577167989.044,0.57,0.2268,0.75,0.1806
model-1577167384,1577167989.544,0.6,0.2249,0.72,0.1806
model-1577167384,1577167990.039,0.67,0.2163,0.78,0.1998
model-1577167384,1577167990.538,0.65,0.214,0.62,0.2327
model-1577167384,1577167991.031,0.67,0.2188,0.56,0.2421
model-1577167384,1577167991.529,0.6,0.2505,0.78,0.1776
model-1577167384,1577167992.032,0.68,0.2044,0.69,0.2177
model-1577167384,1577167992.536,0.57,0.2568,0.78,0.1958
model-1577167384,1577167993.054,0.65,0.2185,0.56,0.2129
model-1577167384,1577167993.583,0.61,0.2431,0.66,0.2116
model-1577167384,1577167994.089,0.63,0.2141,0.62,0.2309
model-1577167384,1577167994.586,0.53,0.2536,0.75,0.1949
model-1577167384,1577167995.095,0.66,0.2115,0.56,0.2219
model-1577167384,1577167995.61,0.6,0.2275,0.66,0.2153
model-1577167384,1577167996.104,0.68,0.2183,0.41,0.2719
model-1577167384,1577167996.603,0.58,0.2256,0.62,0.2291
model-1577167384,1577167997.095,0.63,0.2248,0.69,0.2108
model-1577167384,1577167997.587,0.59,0.2255,0.62,0.2311
model-1577167384,1577167998.075,0.67,0.2227,0.56,0.2458
model-1577167384,1577167998.571,0.69,0.1998,0.69,0.2145
model-1577167384,1577167999.069,0.56,0.2494,0.53,0.2276
model-1577167384,1577167999.572,0.64,0.2175,0.72,0.218
model-1577167384,1577168000.061,0.54,0.2462,0.59,0.2668
model-1577167384,1577168000.554,0.53,0.2574,0.47,0.2483
model-1577167384,1577168001.045,0.47,0.2704,0.5,0.2753
model-1577167384,1577168001.547,0.55,0.2377,0.62,0.2245
model-1577167384,1577168002.042,0.55,0.2361,0.69,0.2123
model-1577167384,1577168002.536,0.64,0.2286,0.56,0.2343
model-1577167384,1577168003.026,0.59,0.2519,0.56,0.2327
model-1577167384,1577168003.522,0.54,0.244,0.75,0.206
model-1577167384,1577168004.024,0.61,0.2295,0.59,0.2415
model-1577167384,1577168004.519,0.55,0.238,0.72,0.2141
model-1577167384,1577168005.016,0.68,0.2239,0.62,0.2094
model-1577167384,1577168005.511,0.67,0.2212,0.62,0.2248
model-1577167384,1577168006.005,0.69,0.2203,0.66,0.2253
model-1577167384,1577168006.497,0.61,0.2266,0.59,0.2395
model-1577167384,1577168006.987,0.62,0.238,0.66,0.2041
model-1577167384,1577168007.481,0.67,0.2202,0.41,0.2627
model-1577167384,1577168007.971,0.58,0.2376,0.59,0.2389
model-1577167384,1577168008.463,0.58,0.2406,0.69,0.2266
model-1577167384,1577168008.956,0.51,0.2476,0.59,0.2396
model-1577167384,1577168009.451,0.64,0.2219,0.47,0.2676
model-1577167384,1577168009.942,0.64,0.2324,0.66,0.2374
model-1577167384,1577168010.442,0.66,0.2228,0.56,0.2248
model-1577167384,1577168010.938,0.59,0.2333,0.69,0.2242
model-1577167384,1577168011.433,0.59,0.2351,0.62,0.2373
model-1577167384,1577168011.928,0.59,0.2343,0.62,0.1939
model-1577167384,1577168012.419,0.63,0.2367,0.69,0.2221
model-1577167384,1577168012.915,0.57,0.2363,0.66,0.2138
model-1577167384,1577168013.413,0.64,0.2177,0.56,0.2357
model-1577167384,1577168013.914,0.66,0.2241,0.56,0.2372
model-1577167384,1577168014.412,0.61,0.2255,0.59,0.2214
model-1577167384,1577168014.911,0.57,0.2329,0.62,0.2202
model-1577167384,1577168015.402,0.68,0.222,0.62,0.2442
model-1577167384,1577168015.902,0.66,0.2094,0.75,0.2133
model-1577167384,1577168016.397,0.56,0.2349,0.81,0.1779
model-1577167384,1577168016.892,0.6,0.2405,0.69,0.1941
model-1577167384,1577168017.386,0.69,0.2234,0.56,0.2326
model-1577167384,1577168017.884,0.6,0.2202,0.69,0.2114
model-1577167384,1577168018.38,0.62,0.2254,0.69,0.2024
model-1577167384,1577168018.885,0.66,0.2059,0.5,0.2388
model-1577167384,1577168019.381,0.63,0.2173,0.75,0.1908
model-1577167384,1577168019.884,0.63,0.2219,0.66,0.2076
model-1577167384,1577168020.382,0.68,0.2089,0.59,0.256
model-1577167384,1577168020.881,0.66,0.215,0.72,0.1872
model-1577167384,1577168021.39,0.56,0.2588,0.56,0.261
model-1577167384,1577168021.885,0.6,0.2263,0.66,0.2129
model-1577167384,1577168022.382,0.7,0.2185,0.56,0.2784
model-1577167384,1577168022.892,0.62,0.2224,0.62,0.2246
model-1577167384,1577168023.384,0.58,0.2284,0.69,0.1949
model-1577167384,1577168023.878,0.69,0.1998,0.75,0.2086
model-1577167384,1577168024.372,0.64,0.2148,0.69,0.2302
model-1577167384,1577168024.867,0.72,0.2082,0.72,0.2088
model-1577167384,1577168025.178,0.63,0.1893,0.66,0.1947
model-1577167384,1577168025.713,0.58,0.245,0.62,0.2193
model-1577167384,1577168026.198,0.62,0.226,0.72,0.1802
model-1577167384,1577168026.684,0.62,0.228,0.62,0.233
model-1577167384,1577168027.172,0.61,0.2405,0.78,0.1928
model-1577167384,1577168027.656,0.64,0.2187,0.56,0.2354
model-1577167384,1577168028.15,0.64,0.2172,0.62,0.2091
model-1577167384,1577168028.638,0.67,0.2174,0.69,0.1956
model-1577167384,1577168029.127,0.63,0.2257,0.78,0.2051
model-1577167384,1577168029.62,0.67,0.2259,0.75,0.1944
model-1577167384,1577168030.108,0.73,0.1913,0.81,0.1866
model-1577167384,1577168030.595,0.62,0.2233,0.69,0.1877
model-1577167384,1577168031.083,0.67,0.2159,0.81,0.1756
model-1577167384,1577168031.572,0.65,0.2174,0.5,0.2471
model-1577167384,1577168032.058,0.62,0.2383,0.59,0.2772
model-1577167384,1577168032.547,0.63,0.2279,0.62,0.2402
model-1577167384,1577168033.05,0.6,0.2253,0.62,0.2256
model-1577167384,1577168033.602,0.66,0.2099,0.75,0.196
model-1577167384,1577168034.113,0.63,0.2353,0.5,0.3072
model-1577167384,1577168034.614,0.59,0.256,0.62,0.2128
model-1577167384,1577168035.11,0.55,0.269,0.69,0.2094
model-1577167384,1577168035.599,0.6,0.2291,0.56,0.2286
model-1577167384,1577168036.1,0.74,0.2013,0.69,0.2051
model-1577167384,1577168036.583,0.59,0.2402,0.56,0.2279
model-1577167384,1577168037.081,0.55,0.2546,0.69,0.2195
model-1577167384,1577168037.583,0.64,0.2253,0.78,0.198
model-1577167384,1577168038.092,0.64,0.2254,0.62,0.22
model-1577167384,1577168038.594,0.56,0.2435,0.72,0.1773
model-1577167384,1577168039.079,0.63,0.2417,0.56,0.2361
model-1577167384,1577168039.56,0.61,0.2385,0.56,0.2546
model-1577167384,1577168040.05,0.56,0.2337,0.72,0.2053
model-1577167384,1577168040.537,0.55,0.2444,0.53,0.2373
model-1577167384,1577168041.019,0.63,0.2329,0.78,0.2048
model-1577167384,1577168041.504,0.7,0.2143,0.53,0.2424
model-1577167384,1577168041.993,0.55,0.2376,0.62,0.2255
model-1577167384,1577168042.481,0.56,0.2323,0.62,0.2446
model-1577167384,1577168042.968,0.63,0.2293,0.75,0.1993
model-1577167384,1577168043.455,0.62,0.224,0.62,0.2211
model-1577167384,1577168043.942,0.63,0.2251,0.62,0.2345
model-1577167384,1577168044.426,0.6,0.2298,0.59,0.2145
model-1577167384,1577168044.907,0.6,0.2245,0.78,0.2119
model-1577167384,1577168045.393,0.7,0.2095,0.56,0.2371
model-1577167384,1577168045.878,0.65,0.2256,0.88,0.1886
model-1577167384,1577168046.363,0.7,0.2227,0.72,0.2149
model-1577167384,1577168046.85,0.65,0.2283,0.75,0.2116
model-1577167384,1577168047.334,0.59,0.2368,0.75,0.2146
model-1577167384,1577168047.826,0.63,0.2224,0.62,0.2218
model-1577167384,1577168048.309,0.65,0.2199,0.56,0.223
model-1577167384,1577168048.792,0.66,0.214,0.62,0.2206
model-1577167384,1577168049.275,0.58,0.2233,0.72,0.2104
model-1577167384,1577168049.765,0.58,0.2299,0.72,0.205
model-1577167384,1577168050.258,0.66,0.2202,0.81,0.1601
model-1577167384,1577168050.747,0.6,0.2174,0.78,0.1622
model-1577167384,1577168051.235,0.63,0.2235,0.66,0.227
model-1577167384,1577168051.723,0.67,0.2099,0.91,0.1368
model-1577167384,1577168052.209,0.56,0.235,0.53,0.2776
model-1577167384,1577168052.698,0.67,0.2271,0.59,0.2822
model-1577167384,1577168053.208,0.58,0.229,0.62,0.2261
model-1577167384,1577168053.702,0.61,0.2401,0.78,0.1854
model-1577167384,1577168054.201,0.67,0.2227,0.62,0.2374
model-1577167384,1577168054.689,0.58,0.238,0.72,0.1931
model-1577167384,1577168055.178,0.68,0.2013,0.72,0.2145
model-1577167384,1577168055.671,0.58,0.2463,0.72,0.2247
model-1577167384,1577168056.163,0.67,0.2092,0.59,0.2532
model-1577167384,1577168056.659,0.58,0.2471,0.66,0.2326
model-1577167384,1577168057.144,0.67,0.2281,0.78,0.1805
model-1577167384,1577168057.632,0.69,0.2249,0.72,0.2154
model-1577167384,1577168058.115,0.71,0.2079,0.84,0.1853
model-1577167384,1577168058.602,0.6,0.2312,0.59,0.2492
model-1577167384,1577168059.086,0.68,0.2081,0.66,0.2054
model-1577167384,1577168059.571,0.65,0.2208,0.66,0.2068
model-1577167384,1577168060.059,0.66,0.2125,0.78,0.1939
model-1577167384,1577168060.561,0.69,0.2113,0.59,0.2653
model-1577167384,1577168061.049,0.69,0.2177,0.72,0.219
model-1577167384,1577168061.535,0.6,0.2318,0.47,0.2481
model-1577167384,1577168062.021,0.72,0.2112,0.72,0.1872
model-1577167384,1577168062.51,0.61,0.2292,0.69,0.2147
model-1577167384,1577168062.996,0.65,0.2161,0.75,0.2121
model-1577167384,1577168063.481,0.67,0.2198,0.66,0.204
model-1577167384,1577168063.97,0.61,0.2359,0.66,0.2057
model-1577167384,1577168064.458,0.71,0.203,0.56,0.251
model-1577167384,1577168064.951,0.62,0.2256,0.56,0.2614
model-1577167384,1577168065.436,0.65,0.2238,0.66,0.2054
model-1577167384,1577168065.925,0.65,0.2273,0.78,0.1883
model-1577167384,1577168066.409,0.64,0.2317,0.66,0.216
model-1577167384,1577168066.896,0.67,0.2184,0.59,0.2677
model-1577167384,1577168067.405,0.69,0.2049,0.69,0.2025
model-1577167384,1577168067.898,0.62,0.2214,0.75,0.1857
model-1577167384,1577168068.383,0.59,0.2196,0.56,0.2343
model-1577167384,1577168068.869,0.68,0.212,0.69,0.1934
model-1577167384,1577168069.357,0.63,0.2271,0.75,0.171
model-1577167384,1577168069.84,0.59,0.2295,0.69,0.2335
model-1577167384,1577168070.324,0.57,0.2462,0.69,0.2117
model-1577167384,1577168070.806,0.72,0.1987,0.69,0.2115
model-1577167384,1577168071.289,0.61,0.2204,0.47,0.3005
model-1577167384,1577168071.784,0.61,0.2154,0.69,0.2274
model-1577167384,1577168072.268,0.6,0.2344,0.69,0.1872
model-1577167384,1577168072.75,0.52,0.2647,0.81,0.1519
model-1577167384,1577168073.235,0.66,0.2096,0.72,0.2149
model-1577167384,1577168073.726,0.66,0.2138,0.69,0.2085
model-1577167384,1577168074.21,0.66,0.2233,0.62,0.2241
model-1577167384,1577168074.69,0.61,0.2286,0.72,0.2201
model-1577167384,1577168075.169,0.57,0.2437,0.72,0.226
model-1577167384,1577168075.651,0.62,0.2288,0.53,0.2279
model-1577167384,1577168076.139,0.65,0.2148,0.75,0.202
model-1577167384,1577168076.625,0.67,0.2006,0.59,0.212
model-1577167384,1577168077.106,0.66,0.2144,0.78,0.1963
model-1577167384,1577168077.588,0.62,0.2262,0.72,0.1912
model-1577167384,1577168078.08,0.59,0.2318,0.78,0.1957
model-1577167384,1577168078.567,0.7,0.2032,0.75,0.1946
model-1577167384,1577168079.053,0.7,0.19,0.66,0.2115
model-1577167384,1577168079.545,0.63,0.2254,0.72,0.2036
model-1577167384,1577168080.026,0.69,0.1999,0.75,0.2029
model-1577167384,1577168080.511,0.65,0.2215,0.62,0.1997
model-1577167384,1577168080.994,0.59,0.2259,0.81,0.156
model-1577167384,1577168081.479,0.61,0.2232,0.75,0.2021
model-1577167384,1577168081.96,0.59,0.2322,0.78,0.1728
model-1577167384,1577168082.449,0.69,0.2081,0.59,0.24
model-1577167384,1577168082.961,0.66,0.2289,0.72,0.2172
model-1577167384,1577168083.449,0.63,0.2295,0.88,0.16
model-1577167384,1577168083.936,0.66,0.2181,0.66,0.2033
model-1577167384,1577168084.423,0.6,0.233,0.59,0.2402
model-1577167384,1577168084.913,0.69,0.2071,0.56,0.2235
model-1577167384,1577168085.426,0.67,0.2066,0.72,0.192
model-1577167384,1577168085.914,0.72,0.1948,0.56,0.2315
model-1577167384,1577168086.398,0.67,0.2016,0.69,0.1862
model-1577167384,1577168086.885,0.63,0.2279,0.62,0.2271
model-1577167384,1577168087.371,0.67,0.2287,0.69,0.2084
model-1577167384,1577168087.861,0.63,0.2295,0.69,0.222
model-1577167384,1577168088.341,0.71,0.2008,0.69,0.1959
model-1577167384,1577168088.826,0.66,0.1916,0.72,0.1911
model-1577167384,1577168089.309,0.71,0.1932,0.72,0.2013
model-1577167384,1577168089.798,0.62,0.2235,0.78,0.1601
model-1577167384,1577168090.283,0.68,0.2092,0.72,0.2006
model-1577167384,1577168090.764,0.69,0.2048,0.59,0.2197
model-1577167384,1577168091.25,0.62,0.2286,0.78,0.1715
model-1577167384,1577168091.74,0.56,0.2361,0.69,0.2145
model-1577167384,1577168092.225,0.73,0.1984,0.59,0.2112
model-1577167384,1577168092.708,0.73,0.1983,0.66,0.1922
model-1577167384,1577168093.211,0.75,0.1835,0.66,0.2199
model-1577167384,1577168093.689,0.69,0.202,0.69,0.2142
model-1577167384,1577168094.16,0.69,0.1993,0.81,0.1502
model-1577167384,1577168094.628,0.6,0.2242,0.81,0.1626
model-1577167384,1577168095.1,0.68,0.2054,0.72,0.187
model-1577167384,1577168095.571,0.65,0.2237,0.81,0.1664
model-1577167384,1577168096.044,0.63,0.2339,0.59,0.249
model-1577167384,1577168096.518,0.66,0.2104,0.81,0.1623
model-1577167384,1577168096.988,0.59,0.2166,0.66,0.2169
model-1577167384,1577168097.462,0.69,0.1982,0.75,0.1441
model-1577167384,1577168097.932,0.64,0.2284,0.75,0.1831
model-1577167384,1577168098.402,0.64,0.2192,0.75,0.1559
model-1577167384,1577168098.871,0.63,0.2236,0.78,0.1796
model-1577167384,1577168099.341,0.7,0.1827,0.62,0.2146
model-1577167384,1577168099.814,0.72,0.1868,0.72,0.2162
model-1577167384,1577168100.289,0.66,0.2119,0.59,0.2624
model-1577167384,1577168100.757,0.69,0.1964,0.5,0.2553
model-1577167384,1577168101.228,0.7,0.2,0.62,0.2295
model-1577167384,1577168101.702,0.66,0.2256,0.69,0.2169
model-1577167384,1577168102.17,0.72,0.1956,0.59,0.2301
model-1577167384,1577168102.64,0.67,0.2289,0.75,0.1894
model-1577167384,1577168103.11,0.79,0.1694,0.78,0.1485
model-1577167384,1577168103.579,0.64,0.2219,0.72,0.2043
model-1577167384,1577168104.05,0.68,0.1953,0.78,0.1719
model-1577167384,1577168104.518,0.6,0.2445,0.59,0.2342
model-1577167384,1577168104.986,0.75,0.1912,0.53,0.2378
model-1577167384,1577168105.452,0.72,0.1979,0.78,0.2004
model-1577167384,1577168105.941,0.67,0.2029,0.75,0.1588
model-1577167384,1577168106.428,0.72,0.2035,0.56,0.2301
model-1577167384,1577168106.911,0.67,0.2057,0.66,0.221
model-1577167384,1577168107.396,0.72,0.1984,0.66,0.1937
model-1577167384,1577168107.884,0.68,0.1958,0.44,0.3283
model-1577167384,1577168108.37,0.71,0.1798,0.56,0.306
model-1577167384,1577168108.859,0.65,0.2199,0.69,0.1668
model-1577167384,1577168109.345,0.73,0.1905,0.69,0.1857
model-1577167384,1577168109.837,0.62,0.2407,0.72,0.1914
model-1577167384,1577168110.324,0.59,0.2464,0.69,0.1867
model-1577167384,1577168110.818,0.66,0.233,0.62,0.2428
model-1577167384,1577168111.308,0.65,0.2102,0.66,0.2389
model-1577167384,1577168111.803,0.67,0.2076,0.66,0.2155
model-1577167384,1577168112.292,0.63,0.2114,0.56,0.2346
model-1577167384,1577168112.781,0.6,0.2438,0.53,0.243
model-1577167384,1577168113.311,0.64,0.2312,0.69,0.2157
model-1577167384,1577168113.806,0.75,0.1992,0.75,0.1828
model-1577167384,1577168114.302,0.75,0.2035,0.75,0.191
model-1577167384,1577168114.789,0.64,0.2068,0.47,0.2547
model-1577167384,1577168115.285,0.73,0.2047,0.62,0.2287
model-1577167384,1577168115.771,0.68,0.2034,0.62,0.2537
model-1577167384,1577168116.261,0.69,0.2014,0.62,0.2145
model-1577167384,1577168116.745,0.67,0.2119,0.69,0.2034
model-1577167384,1577168117.232,0.72,0.1817,0.66,0.1713
model-1577167384,1577168117.717,0.68,0.2128,0.69,0.2003
model-1577167384,1577168118.204,0.65,0.2176,0.66,0.1947
model-1577167384,1577168118.689,0.61,0.227,0.62,0.2064
model-1577167384,1577168119.176,0.65,0.2098,0.66,0.2052
model-1577167384,1577168119.663,0.62,0.2246,0.69,0.1834
model-1577167384,1577168120.151,0.62,0.22,0.56,0.2448
model-1577167384,1577168120.639,0.64,0.2222,0.75,0.1617
model-1577167384,1577168121.13,0.67,0.2143,0.62,0.2102
model-1577167384,1577168121.615,0.68,0.2047,0.91,0.1633
model-1577167384,1577168122.114,0.69,0.2202,0.88,0.168
model-1577167384,1577168122.607,0.67,0.2189,0.75,0.2038
model-1577167384,1577168123.094,0.74,0.1924,0.69,0.2158
model-1577167384,1577168123.59,0.69,0.2043,0.69,0.2304
model-1577167384,1577168124.084,0.68,0.2023,0.69,0.2023
model-1577167384,1577168124.582,0.64,0.2259,0.75,0.189
model-1577167384,1577168125.08,0.73,0.2043,0.75,0.1894
model-1577167384,1577168125.576,0.73,0.2003,0.81,0.1909
model-1577167384,1577168126.067,0.62,0.2162,0.75,0.1654
model-1577167384,1577168126.552,0.64,0.2297,0.62,0.2166
model-1577167384,1577168127.035,0.71,0.1943,0.62,0.2124
model-1577167384,1577168127.514,0.63,0.2204,0.72,0.1812
model-1577167384,1577168127.977,0.66,0.2001,0.78,0.1597
model-1577167384,1577168128.445,0.72,0.1828,0.75,0.1567
model-1577167384,1577168128.914,0.71,0.1979,0.56,0.2657
model-1577167384,1577168129.381,0.76,0.1766,0.62,0.2337
model-1577167384,1577168129.847,0.72,0.197,0.75,0.1824
